Nama Kabupaten/Kota,Jumlah Produksi Sampah (Ton),Tahun Pencatatan,Tahun,Total Sampah (Ton),Total Pertahun
KABUPATEN BOGOR,1511.15,2015.0,,,
KABUPATEN SUKABUMI,419.01,2015.0,,,
KABUPATEN CIANJUR,981.41,2015.0,,,
KABUPATEN BANDUNG,1895.94,2015.0,,,
KABUPATEN GARUT,464.74,2015.0,,,
KABUPATEN TASIKMALAYA,464.52,2015.0,,,
KABUPATEN CIAMIS,260.91,2015.0,,,
KABUPATEN KUNINGAN,251.7,2015.0,,,
KABUPATEN CIREBON,465.75,2015.0,,,
KABUPATEN MAJALENGKA,254.63,2015.0,,,
KABUPATEN SUMEDANG,237.96,2015.0,,,
KABUPATEN INDRAMAYU,613.18,2015.0,,,
KABUPATEN SUBANG,487.26,2015.0,,,
KABUPATEN PURWAKARTA,308.96,2015.0,,,
KABUPATEN KARAWANG,869.86,2015.0,,,
KABUPATEN BEKASI,1228.6,2015.0,,,
KABUPATEN BANDUNG BARAT,616.08,2015.0,,,
KABUPATEN PANGANDARAN,185.83,2015.0,,,
KOTA BOGOR,991.93,2015.0,,,
KOTA SUKABUMI,309.91,2015.0,,,
KOTA BANDUNG,2448.63,2015.0,,,
KOTA CIREBON,304.15,2015.0,,,
KOTA BEKASI,2387.08,2015.0,,,
KOTA DEPOK,1844.3,2015.0,,,
KOTA CIMAHI,563.21,2015.0,,,
KOTA TASIKMALAYA,472.36,2015.0,,,
KOTA BANJAR,130.21,2015.0,,,
KABUPATEN BOGOR,1511.15,2016.0,,,
KABUPATEN SUKABUMI,419.01,2016.0,,,
KABUPATEN CIANJUR,981.41,2016.0,,,
KABUPATEN BANDUNG,1895.94,2016.0,,,
KABUPATEN GARUT,464.74,2016.0,,,
KABUPATEN TASIKMALAYA,464.52,2016.0,,,
KABUPATEN CIAMIS,260.91,2016.0,,,
KABUPATEN KUNINGAN,251.7,2016.0,,,
KABUPATEN CIREBON,465.75,2016.0,,,
KABUPATEN MAJALENGKA,254.63,2016.0,,,
KABUPATEN SUMEDANG,237.96,2016.0,,,
KABUPATEN INDRAMAYU,613.18,2016.0,,,
KABUPATEN SUBANG,487.26,2016.0,,,
KABUPATEN PURWAKARTA,308.96,2016.0,,,
KABUPATEN KARAWANG,869.86,2016.0,,,
KABUPATEN BEKASI,1228.6,2016.0,,,
KABUPATEN BANDUNG BARAT,616.08,2016.0,,,
KABUPATEN PANGANDARAN,185.83,2016.0,,,
KOTA BOGOR,991.93,2016.0,,,
KOTA SUKABUMI,309.91,2016.0,,,
KOTA BANDUNG,2448.63,2016.0,,,
KOTA CIREBON,304.15,2016.0,,,
KOTA BEKASI,2387.08,2016.0,,,
KOTA DEPOK,1844.3,2016.0,,,
KOTA CIMAHI,563.21,2016.0,,,
KOTA TASIKMALAYA,472.36,2016.0,,,
KOTA BANJAR,130.21,2016.0,,,
KABUPATEN BOGOR,1511.15,2017.0,,,
KABUPATEN SUKABUMI,419.01,2017.0,,,
KABUPATEN CIANJUR,981.41,2017.0,,,
KABUPATEN BANDUNG,1895.94,2017.0,,,
KABUPATEN GARUT,464.74,2017.0,,,
KABUPATEN TASIKMALAYA,464.52,2017.0,,,
KABUPATEN CIAMIS,260.91,2017.0,,,
KABUPATEN KUNINGAN,251.7,2017.0,,,
KABUPATEN CIREBON,465.75,2017.0,,,
KABUPATEN MAJALENGKA,254.63,2017.0,,,
KABUPATEN SUMEDANG,237.96,2017.0,,,
KABUPATEN INDRAMAYU,613.18,2017.0,,,
KABUPATEN SUBANG,487.26,2017.0,,,
KABUPATEN PURWAKARTA,308.96,2017.0,,,
KABUPATEN KARAWANG,869.86,2017.0,,,
KABUPATEN BEKASI,1228.6,2017.0,,,
KABUPATEN BANDUNG BARAT,616.08,2017.0,,,
KABUPATEN PANGANDARAN,185.83,2017.0,,,
KOTA BOGOR,991.93,2017.0,,,
KOTA SUKABUMI,309.91,2017.0,,,
KOTA BANDUNG,2448.63,2017.0,,,
KOTA CIREBON,304.15,2017.0,,,
KOTA BEKASI,2387.08,2017.0,,,
KOTA DEPOK,1844.3,2017.0,,,
KOTA CIMAHI,563.21,2017.0,,,
KOTA TASIKMALAYA,472.36,2017.0,,,
KOTA BANJAR,130.21,2017.0,,,
KABUPATEN BOGOR,1716.8,2018.0,,,
KABUPATEN SUKABUMI,415.5,2018.0,,,
KABUPATEN CIANJUR,965.19,2018.0,,,
KABUPATEN BANDUNG,2068.06,2018.0,,,
KABUPATEN GARUT,473.89,2018.0,,,
KABUPATEN TASIKMALAYA,458.45,2018.0,,,
KABUPATEN CIAMIS,263.01,2018.0,,,
KABUPATEN KUNINGAN,248.52,2018.0,,,
KABUPATEN CIREBON,466.25,2018.0,,,
KABUPATEN MAJALENGKA,249.26,2018.0,,,
KABUPATEN SUMEDANG,236.12,2018.0,,,
KABUPATEN INDRAMAYU,603.11,2018.0,,,
KABUPATEN SUBANG,498.7,2018.0,,,
KABUPATEN PURWAKARTA,323.87,2018.0,,,
KABUPATEN KARAWANG,896.85,2018.0,,,
KABUPATEN BEKASI,1600.71,2018.0,,,
KABUPATEN BANDUNG BARAT,663.54,2018.0,,,
KABUPATEN PANGANDARAN,171.21,2018.0,,,
KOTA BOGOR,1069.41,2018.0,,,
KOTA SUKABUMI,318.12,2018.0,,,
KOTA BANDUNG,2441.12,2018.0,,,
KOTA CIREBON,308.37,2018.0,,,
KOTA BEKASI,2858.6,2018.0,,,
KOTA DEPOK,2272.07,2018.0,,,
KOTA CIMAHI,592.62,2018.0,,,
KOTA TASIKMALAYA,465.23,2018.0,,,
KOTA BANJAR,128.34,2018.0,,,
KABUPATEN BOGOR,2914.65,2019.0,,,
KABUPATEN SUKABUMI,1003.64,2019.0,,,
KABUPATEN CIANJUR,1115.81,2019.0,,,
KABUPATEN BANDUNG,1334.12,2019.0,,,
KABUPATEN GARUT,1144.01,2019.0,,,
KABUPATEN TASIKMALAYA,753.06,2019.0,,,
KABUPATEN CIAMIS,560.57,2019.0,,,
KABUPATEN KUNINGAN,537.25,2019.0,,,
KABUPATEN CIREBON,3.15,2019.0,,,
KABUPATEN MAJALENGKA,515.7,2019.0,,,
KABUPATEN SUMEDANG,436.96,2019.0,,,
KABUPATEN INDRAMAYU,1071.05,2019.0,,,
KABUPATEN SUBANG,1012.45,2019.0,,,
KABUPATEN PURWAKARTA,384.43,2019.0,,,
KABUPATEN KARAWANG,934.4,2019.0,,,
KABUPATEN BEKASI,2590.0,2019.0,,,
KABUPATEN BANDUNG BARAT,1124.5,2019.0,,,
KABUPATEN PANGANDARAN,250.23,2019.0,,,
KOTA BOGOR,620.55,2019.0,,,
KOTA SUKABUMI,172.82,2019.0,,,
KOTA BANDUNG,1575.73,2019.0,,,
KOTA CIREBON,245.0,2019.0,,,
KOTA BEKASI,2060.7,2019.0,,,
KOTA DEPOK,1469.77,2019.0,,,
KOTA CIMAHI,267.74,2019.0,,,
KOTA TASIKMALAYA,291.6,2019.0,,,
KOTA BANJAR,100.67,2019.0,,,
KABUPATEN BOGOR,2977.0,2020.0,,,
KABUPATEN SUKABUMI,1006.0,2020.0,,,
KABUPATEN CIANJUR,1117.0,2020.0,,,
KABUPATEN BANDUNG,1355.0,2020.0,,,
KABUPATEN GARUT,1151.0,2020.0,,,
KABUPATEN TASIKMALAYA,754.0,2020.0,,,
KABUPATEN CIAMIS,564.0,2020.0,,,
KABUPATEN KUNINGAN,540.0,2020.0,,,
KABUPATEN CIREBON,1096.0,2020.0,,,
KABUPATEN MAJALENGKA,518.0,2020.0,,,
KABUPATEN SUMEDANG,438.0,2020.0,,,
KABUPATEN INDRAMAYU,1077.0,2020.0,,,
KABUPATEN SUBANG,1023.0,2020.0,,,
KABUPATEN PURWAKARTA,388.0,2020.0,,,
KABUPATEN KARAWANG,942.0,2020.0,,,
KABUPATEN BEKASI,2258.0,2020.0,,,
KABUPATEN BANDUNG BARAT,1135.0,2020.0,,,
KABUPATEN PANGANDARAN,252.0,2020.0,,,
KOTA BOGOR,567.0,2020.0,,,
KOTA SUKABUMI,181.0,2020.0,,,
KOTA BANDUNG,1630.0,2020.0,,,
KOTA CIREBON,192.0,2020.0,,,
KOTA BEKASI,1923.0,2020.0,,,
KOTA DEPOK,1516.0,2020.0,,,
KOTA CIMAHI,369.0,2020.0,,,
KOTA TASIKMALAYA,285.0,2020.0,,,
KOTA BANJAR,79.0,2020.0,,,
KABUPATEN BOGOR,971.59,2021.0,,,
KABUPATEN SUKABUMI,356.02,2021.0,,,
KABUPATEN CIANJUR,355.69,2021.0,,,
KABUPATEN BANDUNG,1489.04,2021.0,,,
KABUPATEN GARUT,321.17,2021.0,,,
KABUPATEN TASIKMALAYA,172.26,2021.0,,,
KABUPATEN CIAMIS,159.41,2021.0,,,
KABUPATEN KUNINGAN,405.76,2021.0,,,
KABUPATEN CIREBON,242.52,2021.0,,,
KABUPATEN MAJALENGKA,546.54,2021.0,,,
KABUPATEN SUMEDANG,707.75,2021.0,,,
KABUPATEN INDRAMAYU,792.48,2021.0,,,
KABUPATEN SUBANG,739.6,2021.0,,,
KABUPATEN PURWAKARTA,239.72,2021.0,,,
KABUPATEN KARAWANG,614.61,2021.0,,,
KABUPATEN BEKASI,1193.76,2021.0,,,
KABUPATEN BANDUNG BARAT,201.09,2021.0,,,
KABUPATEN PANGANDARAN,46.62,2021.0,,,
KOTA BOGOR,719.72,2021.0,,,
KOTA SUKABUMI,232.06,2021.0,,,
KOTA BANDUNG,1529.04,2021.0,,,
KOTA CIREBON,229.75,2021.0,,,
KOTA BEKASI,1500.77,2021.0,,,
KOTA DEPOK,1418.87,2021.0,,,
KOTA CIMAHI,193.36,2021.0,,,
KOTA TASIKMALAYA,295.87,2021.0,,,
KOTA BANJAR,60.29,2021.0,,,
,,,2015.0,20969.269999999997,
,,,2015.0,,20969.269999999997
,,,2016.0,,20969.269999999997
,,,2017.0,,20969.269999999997
,,,2018.0,,22772.92
,,,2019.0,,24490.559999999998
,,,2020.0,,25333.0
,,,2021.0,,15735.360000000002
KABUPATEN BOGOR,,,2015.0,,1511.15
KABUPATEN SUKABUMI,,,2015.0,,419.01
KABUPATEN CIANJUR,,,2015.0,,981.41
KABUPATEN BANDUNG,,,2015.0,,1895.94
KABUPATEN GARUT,,,2015.0,,464.74
KABUPATEN TASIKMALAYA,,,2015.0,,464.52
KABUPATEN CIAMIS,,,2015.0,,260.91
KABUPATEN KUNINGAN,,,2015.0,,251.7
KABUPATEN CIREBON,,,2015.0,,465.75
KABUPATEN MAJALENGKA,,,2015.0,,254.63
KABUPATEN SUMEDANG,,,2015.0,,237.96
KABUPATEN INDRAMAYU,,,2015.0,,613.18
KABUPATEN SUBANG,,,2015.0,,487.26
KABUPATEN PURWAKARTA,,,2015.0,,308.96
KABUPATEN KARAWANG,,,2015.0,,869.86
KABUPATEN BEKASI,,,2015.0,,1228.6
KABUPATEN BANDUNG BARAT,,,2015.0,,616.08
KABUPATEN PANGANDARAN,,,2015.0,,185.83
KOTA BOGOR,,,2015.0,,991.93
KOTA SUKABUMI,,,2015.0,,309.91
KOTA BANDUNG,,,2015.0,,2448.63
KOTA CIREBON,,,2015.0,,304.15
KOTA BEKASI,,,2015.0,,2387.08
KOTA DEPOK,,,2015.0,,1844.3
KOTA CIMAHI,,,2015.0,,563.21
KOTA TASIKMALAYA,,,2015.0,,472.36
KOTA BANJAR,,,2015.0,,130.21
KABUPATEN BOGOR,,,2016.0,,1511.15
KABUPATEN SUKABUMI,,,2016.0,,419.01
KABUPATEN CIANJUR,,,2016.0,,981.41
KABUPATEN BANDUNG,,,2016.0,,1895.94
KABUPATEN GARUT,,,2016.0,,464.74
KABUPATEN TASIKMALAYA,,,2016.0,,464.52
KABUPATEN CIAMIS,,,2016.0,,260.91
KABUPATEN KUNINGAN,,,2016.0,,251.7
KABUPATEN CIREBON,,,2016.0,,465.75
KABUPATEN MAJALENGKA,,,2016.0,,254.63
KABUPATEN SUMEDANG,,,2016.0,,237.96
KABUPATEN INDRAMAYU,,,2016.0,,613.18
KABUPATEN SUBANG,,,2016.0,,487.26
KABUPATEN PURWAKARTA,,,2016.0,,308.96
KABUPATEN KARAWANG,,,2016.0,,869.86
KABUPATEN BEKASI,,,2016.0,,1228.6
KABUPATEN BANDUNG BARAT,,,2016.0,,616.08
KABUPATEN PANGANDARAN,,,2016.0,,185.83
KOTA BOGOR,,,2016.0,,991.93
KOTA SUKABUMI,,,2016.0,,309.91
KOTA BANDUNG,,,2016.0,,2448.63
KOTA CIREBON,,,2016.0,,304.15
KOTA BEKASI,,,2016.0,,2387.08
KOTA DEPOK,,,2016.0,,1844.3
KOTA CIMAHI,,,2016.0,,563.21
KOTA TASIKMALAYA,,,2016.0,,472.36
KOTA BANJAR,,,2016.0,,130.21
KABUPATEN BOGOR,,,2017.0,,1511.15
KABUPATEN SUKABUMI,,,2017.0,,419.01
KABUPATEN CIANJUR,,,2017.0,,981.41
KABUPATEN BANDUNG,,,2017.0,,1895.94
KABUPATEN GARUT,,,2017.0,,464.74
KABUPATEN TASIKMALAYA,,,2017.0,,464.52
KABUPATEN CIAMIS,,,2017.0,,260.91
KABUPATEN KUNINGAN,,,2017.0,,251.7
KABUPATEN CIREBON,,,2017.0,,465.75
KABUPATEN MAJALENGKA,,,2017.0,,254.63
KABUPATEN SUMEDANG,,,2017.0,,237.96
KABUPATEN INDRAMAYU,,,2017.0,,613.18
KABUPATEN SUBANG,,,2017.0,,487.26
KABUPATEN PURWAKARTA,,,2017.0,,308.96
KABUPATEN KARAWANG,,,2017.0,,869.86
KABUPATEN BEKASI,,,2017.0,,1228.6
KABUPATEN BANDUNG BARAT,,,2017.0,,616.08
KABUPATEN PANGANDARAN,,,2017.0,,185.83
KOTA BOGOR,,,2017.0,,991.93
KOTA SUKABUMI,,,2017.0,,309.91
KOTA BANDUNG,,,2017.0,,2448.63
KOTA CIREBON,,,2017.0,,304.15
KOTA BEKASI,,,2017.0,,2387.08
KOTA DEPOK,,,2017.0,,1844.3
KOTA CIMAHI,,,2017.0,,563.21
KOTA TASIKMALAYA,,,2017.0,,472.36
KOTA BANJAR,,,2017.0,,130.21
KABUPATEN BOGOR,,,2018.0,,1716.8
KABUPATEN SUKABUMI,,,2018.0,,415.5
KABUPATEN CIANJUR,,,2018.0,,965.19
KABUPATEN BANDUNG,,,2018.0,,2068.06
KABUPATEN GARUT,,,2018.0,,473.89
KABUPATEN TASIKMALAYA,,,2018.0,,458.45
KABUPATEN CIAMIS,,,2018.0,,263.01
KABUPATEN KUNINGAN,,,2018.0,,248.52
KABUPATEN CIREBON,,,2018.0,,466.25
KABUPATEN MAJALENGKA,,,2018.0,,249.26
KABUPATEN SUMEDANG,,,2018.0,,236.12
KABUPATEN INDRAMAYU,,,2018.0,,603.11
KABUPATEN SUBANG,,,2018.0,,498.7
KABUPATEN PURWAKARTA,,,2018.0,,323.87
KABUPATEN KARAWANG,,,2018.0,,896.85
KABUPATEN BEKASI,,,2018.0,,1600.71
KABUPATEN BANDUNG BARAT,,,2018.0,,663.54
KABUPATEN PANGANDARAN,,,2018.0,,171.21
KOTA BOGOR,,,2018.0,,1069.41
KOTA SUKABUMI,,,2018.0,,318.12
KOTA BANDUNG,,,2018.0,,2441.12
KOTA CIREBON,,,2018.0,,308.37
KOTA BEKASI,,,2018.0,,2858.6
KOTA DEPOK,,,2018.0,,2272.07
KOTA CIMAHI,,,2018.0,,592.62
KOTA TASIKMALAYA,,,2018.0,,465.23
KOTA BANJAR,,,2018.0,,128.34
KABUPATEN BOGOR,,,2019.0,,2914.65
KABUPATEN SUKABUMI,,,2019.0,,1003.64
KABUPATEN CIANJUR,,,2019.0,,1115.81
KABUPATEN BANDUNG,,,2019.0,,1334.12
KABUPATEN GARUT,,,2019.0,,1144.01
KABUPATEN TASIKMALAYA,,,2019.0,,753.06
KABUPATEN CIAMIS,,,2019.0,,560.57
